
644) Value  : 199.09763
645) Value  : 198.22022
646) Value  : 190.31044
647) Value  : 190.58942
648) Value  : 196.25331
649) Value  : 189.53947
650) Value  : 204.04275
651) Value  : 201.26616
652) Value  : 201.26858
653) Value  : 199.71424
654) Value  : 202.83649
655) Value  : 193.28061
656) Value  : 203.98430
657) Value  : 198.92163
658) Value  : 202.24178
659) Value  : 206.00895
660) Value  : 204.31537
661) Value  : 199.00881
662) Value  : 193.72159
663) Value  : 205.39766
664) Value  : 195.17458
665) Value  : 191.72272
666) Value  : 196.17052
667) Value  : 195.80581
668) Value  : 190.00357
669) Value  : 198.46437
670) Value  : 199.50820
671) Value  : 184.39391
672) Value  : 190.57858
673) Value  : 195.71595
674) Value  : 197.85447
675) Value  : 193.83923
676) Value  : 188.50128
677) Value  : 185.45726
678) Value  : 187.07334
679) Value  : 177.87912
680) Value  : 179.08040
681) Value  : 181.79297
682) Value  : 172.35909
683) Value  : 178.60186
684) Value  : 171.77346
685) Value  : 169.44556
686) Value  : 168.55066
687) Value  : 161.37899
688) Value  : 163.53436
689) Value  : 159.45538
690) Value  : 166.57052
691) Value  : 163.21426
692) Value  : 154.63080
693) Value  : 162.15846
694) Value  : 162.09171
695) Value  : 152.17683
696) Value  : 150.52377
697) Value  : 149.30874
698) Value  : 150.34519
699) Value  : 146.78330
700) Value  : 144.85138
701) Value  : 140.05534
702) Value  : 133.66563
703) Value  : 132.76230
704) Value  : 122.83632
705) Value  : 129.77431
706) Value  : 122.47416
707) Value  : 118.47385
708) Value  : 118.42869
709) Value  : 113.60825
710) Value  : 104.27008
711) Value  : 108.39809
712) Value  : 111.97237
713) Value  : 102.07517
714) Value  : 105.97701
715) Value  : 94.58089
716) Value  : 95.03309
717) Value  : 94.68647
718) Value  : 88.32874
719) Value  : 76.82677
720) Value  : 79.99423
721) Value  : 74.26222
722) Value  : 76.02864
723) Value  : 62.01919
724) Value  : 68.07859
725) Value  : 57.93662
726) Value  : 66.17249
727) Value  : 47.45091
728) Value  : 43.82701
729) Value  : 39.23094
730) Value  : 40.32820
731) Value  : 44.20720
732) Value  : 41.17182
733) Value  : 31.17920
734) Value  : 24.95097
735) Value  : 28.74585
736) Value  : 13.20149
737) Value  : 22.89509
738) Value  : 18.82907
739) Value  : 14.04470
740) Value  : 7.83481
741) Value  : 4.36198
742) Value  : -6.61900
743) Value  : -4.80537
744) Value  : -8.50439
745) Value  : -14.10964
746) Value  : -23.42445
747) Value  : -17.39053
748) Value  : -19.30215
749) Value  : -30.59391
750) Value  : -30.33079
751) Value  : -37.88922
752) Value  : -37.93235
753) Value  : -39.78157
754) Value  : -44.56889
755) Value  : -44.56668
756) Value  : -52.83679
757) Value  : -52.29991
758) Value  : -59.31549
759) Value  : -58.08080
760) Value  : -72.51737
761) Value  : -78.47584
762) Value  : -67.69351
763) Value  : -76.05085
764) Value  : -77.33938
765) Value  : -81.97873
766) Value  : -87.14013
767) Value  : -97.86248
768) Value  : -87.95741
769) Value  : -94.92563
770) Value  : -98.14690
771) Value  : -103.16618
772) Value  : -110.95533
773) Value  : -111.40711
774) Value  : -115.96129
775) Value  : -118.01365
776) Value  : -112.61328
777) Value  : -120.27308
778) Value  : -122.69756
779) Value  : -121.96685
780) Value  : -128.26532
781) Value  : -134.92268
782) Value  : -138.42098
783) Value  : -133.19615
784) Value  : -143.11694
785) Value  : -142.70559
786) Value  : -142.15755
787) Value  : -153.52102
788) Value  : -156.41946
789) Value  : -153.05243
790) Value  : -161.32185
791) Value  : -156.53562
792) Value  : -151.39833
793) Value  : -156.26989
794) Value  : -166.06740
795) Value  : -166.30423
796) Value  : -170.07380
797) Value  : -167.82635
798) Value  : -163.63436
799) Value  : -168.72757
800) Value  : -167.86194
801) Value  : -181.59788
802) Value  : -176.25559
803) Value  : -178.96465
804) Value  : -187.53013
805) Value  : -181.31830
806) Value  : -186.90972
807) Value  : -180.71182
808) Value  : -180.96452
809) Value  : -193.40285
810) Value  : -185.03952
811) Value  : -197.02929
812) Value  : -194.21059
813) Value  : -197.12307
814) Value  : -202.03294
815) Value  : -189.98104
816) Value  : -189.24954
817) Value  : -203.64175
818) Value  : -194.30389
819) Value  : -190.50816
820) Value  : -194.05595
821) Value  : -193.92709
822) Value  : -199.63142
823) Value  : -198.07365
824) Value  : -204.97807
825) Value  : -203.95489
826) Value  : -200.20341
827) Value  : -199.23760
828) Value  : -200.99232
829) Value  : -196.95358
830) Value  : -202.64540
831) Value  : -198.63705
832) Value  : -195.93356
833) Value  : -201.49294
834) Value  : -197.41456
835) Value  : -200.25463
836) Value  : -192.45426
837) Value  : -196.50653
838) Value  : -188.10115
839) Value  : -192.77232
840) Value  : -198.19468
841) Value  : -187.56899
842) Value  : -193.22910
843) Value  : -193.73053
844) Value  : -195.31307
845) Value  : -195.51920
846) Value  : -180.90648
847) Value  : -179.23572
848) Value  : -185.02143
849) Value  : -186.27913
850) Value  : -179.59249
851) Value  : -186.54709
852) Value  : -174.36703
853) Value  : -173.10083
854) Value  : -178.39336
855) Value  : -169.78336
856) Value  : -168.98277
857) Value  : -168.56640
858) Value  : -172.15913
859) Value  : -170.33580
860) Value  : -162.18829
861) Value  : -158.28839
862) Value  : -166.27809
863) Value  : -163.80050
864) Value  : -162.71805
865) Value  : -158.19286
866) Value  : -146.71372
867) Value  : -150.68016
868) Value  : -150.99888
869) Value  : -135.17279
870) Value  : -133.82389
871) Value  : -138.05528
872) Value  : -141.40095
873) Value  : -134.07430
874) Value  : -123.40486
875) Value  : -123.45065
876) Value  : -129.57437
877) Value  : -124.34720
878) Value  : -114.30919
879) Value  : -114.27790
880) Value  : -109.69731
881) Value  : -108.51730
882) Value  : -101.91230
883) Value  : -111.24601
884) Value  : -98.57376
885) Value  : -101.43354
886) Value  : -97.84658
887) Value  : -82.61761
888) Value  : -96.60829
889) Value  : -80.10558
890) Value  : -77.85690
891) Value  : -78.52477
892) Value  : -66.90701
893) Value  : -69.14594
894) Value  : -67.81996
895) Value  : -67.07453
896) Value  : -64.88278
897) Value  : -61.81404
898) Value  : -56.43565
899) Value  : -49.29590
900) Value  : -52.57231
901) Value  : -41.92952
902) Value  : -43.50193
903) Value  : -35.53031
904) Value  : -29.94072
905) Value  : -26.22036
906) Value  : -20.41757
907) Value  : -19.46544
908) Value  : -16.13078
909) Value  : -11.19138
910) Value  : -14.60738
911) Value  : -2.48432
912) Value  : 4.50427
913) Value  : 2.42530
914) Value  : 1.19231
915) Value  : 5.64469
916) Value  : 4.35640
917) Value  : 18.25395
918) Value  : 25.04660
919) Value  : 16.36040
920) Value  : 33.89132
921) Value  : 33.68440
922) Value  : 34.67919
923) Value  : 46.06080
924) Value  : 40.01047
925) Value  : 49.08797
926) Value  : 46.64087
927) Value  : 54.43541
928) Value  : 56.44539
929) Value  : 51.05137
930) Value  : 66.74302
931) Value  : 62.32393
932) Value  : 66.66854
933) Value  : 83.40994
934) Value  : 77.39479
935) Value  : 75.55869
936) Value  : 86.84134
937) Value  : 90.20260
938) Value  : 82.67843
939) Value  : 96.00004
940) Value  : 92.69754
941) Value  : 95.23165
942) Value  : 101.23657
943) Value  : 98.25736
944) Value  : 101.41314
945) Value  : 112.37619
946) Value  : 121.17456
947) Value  : 116.40047
948) Value  : 121.30330
949) Value  : 126.45223
950) Value  : 126.39941
951) Value  : 128.81416
952) Value  : 139.66847
953) Value  : 136.56467
954) Value  : 139.38052
955) Value  : 148.30349
956) Value  : 139.22756
957) Value  : 148.05853
958) Value  : 143.43794
959) Value  : 155.33878
960) Value  : 148.85754
961) Value  : 154.67367
962) Value  : 158.96377
963) Value  : 155.34533
964) Value  : 164.30449
965) Value  : 160.56106
966) Value  : 166.16231
967) Value  : 172.05748
968) Value  : 167.78502
969) Value  : 170.75902
970) Value  : 171.86966
971) Value  : 175.62231
972) Value  : 174.48434
973) Value  : 184.84086
974) Value  : 177.92891
975) Value  : 176.78192
976) Value  : 188.64384
977) Value  : 177.37703
978) Value  : 186.18226
979) Value  : 188.88281
980) Value  : 187.78084
981) Value  : 185.61142
982) Value  : 189.21780
983) Value  : 194.57558
984) Value  : 192.85380
985) Value  : 197.59316
986) Value  : 188.60105
987) Value  : 190.30295
988) Value  : 196.82988
989) Value  : 193.59751
990) Value  : 194.56548
991) Value  : 201.85185
992) Value  : 204.79014
993) Value  : 194.58366
994) Value  : 204.79229
995) Value  : 203.05832
996) Value  : 192.56205
997) Value  : 205.11090
998) Value  : 194.52769
999) Value  : 197.19302
1000) Value  : 195.21620
1001) Value  : 191.03213
1002) Value  : 198.96548
1003) Value  : 202.86408
1004) Value  : 198.96354
1005) Value  : 197.84912
1006) Value  : 200.38370
1007) Value  : 202.37308
1008) Value  : 195.11911
1009) Value  : 196.44258
1010) Value  : 196.04118
1011) Value  : 200.06746
1012) Value  : 191.61396
1013) Value  : 185.24207
1014) Value  : 191.05829
1015) Value  : 197.37064
1016) Value  : 191.89801
1017) Value  : 189.64673
1018) Value  : 185.07718
1019) Value  : 179.29401
1020) Value  : 181.92892
1021) Value  : 176.59568
1022) Value  : 183.48512
1023) Value  : 170.24317



0) Smooth : 170.68532
1) Smooth : 168.75045
2) Smooth : 166.11741
3) Smooth : 163.82435
4) Smooth : 161.05605
5) Smooth : 158.99198
6) Smooth : 156.71735
7) Smooth : 154.73211
8) Smooth : 152.93736
9) Smooth : 150.59189
10) Smooth : 149.09290
11) Smooth : 147.51268
12) Smooth : 145.25027
13) Smooth : 142.79530
14) Smooth : 141.09966
15) Smooth : 137.33359
16) Smooth : 135.03317
17) Smooth : 132.05893
18) Smooth : 129.00082
19) Smooth : 126.26959
20) Smooth : 122.29649
21) Smooth : 118.79122
22) Smooth : 116.09205
23) Smooth : 112.70933
24) Smooth : 109.22203
25) Smooth : 106.81696
26) Smooth : 103.46021
27) Smooth : 100.41537
28) Smooth : 96.12381
29) Smooth : 93.25384
30) Smooth : 90.93221
31) Smooth : 87.99300
32) Smooth : 84.87131
33) Smooth : 80.94092
34) Smooth : 77.51397
35) Smooth : 73.98813
36) Smooth : 69.84059
37) Smooth : 66.20370
38) Smooth : 63.44906
39) Smooth : 59.21124
40) Smooth : 54.46937
41) Smooth : 51.04970
42) Smooth : 47.26567
43) Smooth : 44.32910
44) Smooth : 40.54472
45) Smooth : 36.45273
46) Smooth : 32.67550
47) Smooth : 28.84332
48) Smooth : 25.55100
49) Smooth : 21.86382
50) Smooth : 18.67059
51) Smooth : 14.75573
52) Smooth : 11.71877
53) Smooth : 7.66457
54) Smooth : 4.46162
55) Smooth : 1.02971
56) Smooth : -2.19114
57) Smooth : -5.53655
58) Smooth : -8.89314
59) Smooth : -11.84944
60) Smooth : -16.18646
61) Smooth : -19.73743
62) Smooth : -24.01573
63) Smooth : -27.07372
64) Smooth : -30.73791
65) Smooth : -34.78923
66) Smooth : -37.73527
67) Smooth : -42.17569
68) Smooth : -45.87160
69) Smooth : -50.46105
70) Smooth : -53.18150
71) Smooth : -57.06161
72) Smooth : -60.85898
73) Smooth : -64.79897
74) Smooth : -68.19984
75) Smooth : -71.41250
76) Smooth : -75.86743
77) Smooth : -79.41117
78) Smooth : -83.37562
79) Smooth : -85.91916
80) Smooth : -89.30818
81) Smooth : -92.43473
82) Smooth : -95.73577
83) Smooth : -99.12631
84) Smooth : -102.49094
85) Smooth : -104.92707
86) Smooth : -107.94402
87) Smooth : -110.45748
88) Smooth : -113.08833
89) Smooth : -116.40939
90) Smooth : -118.67513
91) Smooth : -122.23956
92) Smooth : -124.91058
93) Smooth : -127.74524
