
501) Value  : 124.58958
502) Value  : 130.48819
503) Value  : 124.87582
504) Value  : 130.91451
505) Value  : 128.76311
506) Value  : 127.64318
507) Value  : 132.06554
508) Value  : 133.18439
509) Value  : 126.53064
510) Value  : 132.74467
511) Value  : 131.26467
512) Value  : 129.45986
513) Value  : 135.58129
514) Value  : 133.27956
515) Value  : 134.14236
516) Value  : 129.93386
517) Value  : 132.44486
518) Value  : 135.17566
519) Value  : 130.24182
520) Value  : 133.67931
521) Value  : 133.80078
522) Value  : 133.12926
523) Value  : 137.08358
524) Value  : 138.56290
525) Value  : 133.23326
526) Value  : 136.37587
527) Value  : 131.59472
528) Value  : 129.84239
529) Value  : 130.64735
530) Value  : 133.05443
531) Value  : 130.62889
532) Value  : 129.03346
533) Value  : 128.31034
534) Value  : 131.60527
535) Value  : 129.07474
536) Value  : 125.36417
537) Value  : 127.28799
538) Value  : 126.98199
539) Value  : 128.06693
540) Value  : 128.34260
541) Value  : 125.74975
542) Value  : 125.28792
543) Value  : 126.54250
544) Value  : 125.21448
545) Value  : 123.09767
546) Value  : 123.05538
547) Value  : 118.60896
548) Value  : 119.03718
549) Value  : 117.26221
550) Value  : 117.38320
551) Value  : 112.95558
552) Value  : 116.55812
553) Value  : 116.94001
554) Value  : 115.63464
555) Value  : 115.01377
556) Value  : 115.11049
557) Value  : 109.18436
558) Value  : 112.17892
559) Value  : 106.28634
560) Value  : 107.13555
561) Value  : 104.74902
562) Value  : 102.91540
563) Value  : 103.69054
564) Value  : 97.19648
565) Value  : 96.31604
566) Value  : 95.41643
567) Value  : 93.25627
568) Value  : 94.98899
569) Value  : 87.90902
570) Value  : 90.05552
571) Value  : 88.33216
572) Value  : 90.01194
573) Value  : 82.11012
574) Value  : 79.76743
575) Value  : 85.18009
576) Value  : 80.95657
577) Value  : 83.05593
578) Value  : 73.81945
579) Value  : 71.85815
580) Value  : 69.70034
581) Value  : 68.85690
582) Value  : 63.46204
583) Value  : 62.83224
584) Value  : 62.84785
585) Value  : 64.37451
586) Value  : 59.77354
587) Value  : 62.95198
588) Value  : 55.34601
589) Value  : 52.69632
590) Value  : 49.34756
591) Value  : 46.78062
592) Value  : 51.64138
593) Value  : 45.03608
594) Value  : 45.08082
595) Value  : 40.95130
596) Value  : 37.49046
597) Value  : 41.54060
598) Value  : 34.76776
599) Value  : 30.02222
600) Value  : 31.53706
601) Value  : 26.57952
602) Value  : 24.18762
603) Value  : 24.34129
604) Value  : 19.18750
605) Value  : 18.23523
606) Value  : 16.83785
607) Value  : 16.77155
608) Value  : 15.81591
609) Value  : 6.45857
610) Value  : 7.99338
611) Value  : 3.38431
612) Value  : 2.78965
613) Value  : -2.57481
614) Value  : 3.08510
615) Value  : -5.96398
616) Value  : -10.45894
617) Value  : -4.64429
618) Value  : -9.40641
619) Value  : -16.67587
620) Value  : -13.60835
621) Value  : -17.24858
622) Value  : -18.82503
623) Value  : -24.76123
624) Value  : -23.91427
625) Value  : -29.84924
626) Value  : -32.38385
627) Value  : -33.95831
628) Value  : -32.21126
629) Value  : -38.54817
630) Value  : -31.20762
631) Value  : -39.30310
632) Value  : -39.06920
633) Value  : -43.80716
634) Value  : -47.17906
635) Value  : -50.52160
636) Value  : -54.65914
637) Value  : -50.58910
638) Value  : -60.70624
639) Value  : -53.70546
640) Value  : -61.42705
641) Value  : -62.38286
642) Value  : -57.83415
643) Value  : -66.25387
644) Value  : -63.28281
645) Value  : -64.28307
646) Value  : -71.68693
647) Value  : -67.00626
648) Value  : -75.41073
649) Value  : -76.00543
650) Value  : -74.42772
651) Value  : -80.16133
652) Value  : -77.67605
653) Value  : -80.81100
654) Value  : -84.36927
655) Value  : -89.37172
656) Value  : -88.70766
657) Value  : -87.76000
658) Value  : -93.60103
659) Value  : -87.96114
660) Value  : -98.13298
661) Value  : -94.04542
662) Value  : -99.35320
663) Value  : -102.88224
664) Value  : -98.72897
665) Value  : -97.19887
666) Value  : -108.08238
667) Value  : -100.12404
668) Value  : -108.06611
669) Value  : -106.33249
670) Value  : -106.71832
671) Value  : -107.43364
672) Value  : -113.51816
673) Value  : -111.70568
674) Value  : -120.19152
675) Value  : -116.02751
676) Value  : -122.05559
677) Value  : -118.26550
678) Value  : -117.72900
679) Value  : -119.03966
680) Value  : -127.15174
681) Value  : -119.21667
682) Value  : -124.94750
683) Value  : -126.79158
684) Value  : -121.46879
685) Value  : -124.42839
686) Value  : -123.47648
687) Value  : -131.04229
688) Value  : -132.83712
689) Value  : -132.15198
690) Value  : -127.38683
